"Medallion","PickupTime","DropOffTime","Passengers","Distance","latlngList"
"DC5D26EA5DC19652C8A3932F33BE4E2C","2013-01-06 02:56:00","2013-01-06 03:09:00","1","0.09","-73.980267,40.742525,-73.98041,40.742587,-73.979959,40.743205,-73.979508,40.743825,-73.979054,40.74446,-73.978607,40.745058,-73.978121,40.745726,-73.977636,40.746392,-73.977188,40.74701,-73.976735,40.747628,-73.976288,40.748245,-73.975834,40.748865,-73.975385,40.74948,-73.975218,40.74971,-73.974935,40.7501,-73.974457,40.750756,-73.973959,40.751441,-73.973503,40.752065,-73.973045,40.752692,-73.974379,40.753254,"
"238EFAFA411F3121D1AE05CE8C2F28CF","2013-01-06 02:47:00","2013-01-06 03:02:00","1","3.9","-73.989509,40.718845,-73.98906,40.718709,-73.98825,40.718461,-73.988177,40.71859,-73.987543,40.719831,-73.986951,40.720981,-73.986335,40.722162,-73.985552,40.721922,-73.984711,40.721666,-73.983851,40.721417,-73.983034,40.721152,-73.982185,40.720897,-73.981316,40.720654,-73.978784,40.719863,-73.977268,40.719212,-73.976436,40.71905,-73.975484,40.718868,-73.975105,40.718763,-73.974963,40.718764,-73.974849,40.718804,-73.974746,40.71885,-73.974702,40.71905,-73.974573,40.720292,-73.974582,40.721275,-73.974504,40.721749,-73.974444,40.722042,-73.974333,40.722367,-73.974256,40.722517,-73.974084,40.722842,-73.973929,40.723102,-73.973311,40.724091,-73.972427,40.725509,-73.972264,40.725795,-73.972118,40.726108,-73.97199,40.726413,-73.971921,40.726615,-73.971878,40.726804,-73.971844,40.727005,-73.971775,40.727513,-73.971706,40.727961,-73.971663,40.7283,-73.971663,40.72843,-73.971663,40.728631,-73.971706,40.728931,-73.971784,40.729165,-73.971904,40.729425,-73.972067,40.729698,-73.972281,40.729945,-73.972505,40.73016,-73.973243,40.730778,-73.973414,40.73096,-73.973543,40.731116,-73.973689,40.731318,-73.973792,40.731519,-73.973878,40.731708,-73.973946,40.731935,-73.973998,40.732124,-73.974487,40.734056,-73.97479,40.735183,-73.974876,40.735547,-73.974919,40.735866,-73.974919,40.736146,-73.974876,40.736399,-73.974798,40.736659,-73.974695,40.736893,-73.974549,40.737134,-73.974365,40.737411,-73.973911,40.737819,-73.973491,40.73843,-73.973319,40.738632,-73.973233,40.738762,-73.973096,40.738976,-73.972928,40.739384,-73.972702,40.740046,-73.972565,40.740734,-73.972397,40.741445,-73.972397,40.741563,-73.972442,40.741913,-73.972418,40.742103,-73.972386,40.742363,-73.972256,40.742649,-73.972024,40.743164,-73.973512,40.743782,-73.975224,40.744505,-73.975881,40.744779,-73.97736,40.745404,-73.978121,40.745726,-73.977636,40.746392,-73.977188,40.74701,-73.976735,40.747628,-73.978344,40.748294,-73.979844,40.748915,-73.98009,40.749016,-73.9816,40.749641,-73.983203,40.750304,-73.986399,40.7517,-73.987491,40.752159,-73.989243,40.752895,-73.992079,40.754091,-73.994281,40.754997,"
"D3D055476B49E90E47BD255A23AFAFBE","2013-01-06 03:22:00","2013-01-06 03:34:00","2","1.95","-74.006273,40.739713,-74.005958,40.740135,-74.005986,40.740286,-74.006051,40.740359,-74.007483,40.740942,-74.008599,40.741419,-74.008687,40.741416,-74.008761,40.741394,-74.008798,40.741282,-74.00896,40.740731,-74.009019,40.740578,-74.009087,40.740448,-74.009199,40.74024,-74.009293,40.740084,-74.009388,40.739941,-74.009499,40.739746,-74.009618,40.739557,-74.009687,40.739399,-74.009723,40.739277,-74.009722,40.739234,-74.009722,40.73918,-74.009674,40.739027,-74.009649,40.738956,-74.009642,40.738905,-74.009654,40.738864,-74.009685,40.738829,-74.00974,40.738789,-74.009807,40.738767,-74.009865,40.738744,-74.009913,40.738726,-74.009986,40.738681,-74.010031,40.73864,-74.010072,40.73859,-74.010119,40.738517,-74.01005,40.737878,-74.01003,40.737644,-74.010026,40.737473,-74.010177,40.735402,-74.010195,40.735232,-74.010298,40.733951,-74.010315,40.733802,-74.010426,40.732579,-74.010452,40.732306,-74.010546,40.731389,-74.010564,40.731194,-74.010667,40.729841,-74.010688,40.729748,-74.010769,40.729122,-74.010849,40.728293,-74.011021,40.726725,-74.01107,40.726179,-74.011106,40.72597,-74.011165,40.725733,-74.011203,40.725497,-74.01119,40.72533,-74.011182,40.725289,-74.011171,40.725248,-74.01114,40.725211,-74.0111,40.725182,-74.011044,40.725168,-74.010074,40.725079,-74.009905,40.725056,-74.009839,40.725033,-74.009777,40.725013,-74.009703,40.72498,-74.009562,40.724899,-74.009317,40.724702,-74.008644,40.724222,-74.008302,40.723977,-74.007912,40.7237,-74.007629,40.723497,-74.006312,40.722563,-74.005913,40.722253,-74.005507,40.721935,-74.005292,40.721766,-74.005181,40.721697,-74.004736,40.721417,-74.004635,40.721354,-74.004544,40.721463,-74.003768,40.722384,-74.002971,40.721995,-74.002208,40.721621,-74.001447,40.721252,-74.000661,40.72084,-73.999868,40.720432,-73.999868,40.720432,"
"CA83E924BAD455C9052BE1F34D8CD700","2013-01-06 03:22:00","2013-01-06 03:38:00","1","5.51","-73.987899,40.728286,-73.988119,40.727986,-73.989805,40.728696,-73.990366,40.728932,-73.989902,40.729558,-73.989664,40.729885,-73.989483,40.730133,-73.989053,40.730724,-73.988626,40.73131,-73.98815,40.731964,-73.987683,40.732604,-73.987191,40.73328,-73.987182,40.733293,-73.988779,40.733966,-73.989919,40.734461,-73.990565,40.734734,-73.990752,40.734816,-73.991395,40.735081,-73.991692,40.735204,-73.993618,40.736,-73.99684,40.737361,-73.999684,40.738552,-74.002524,40.739755,-74.005126,40.74085,-74.005366,40.740945,-74.00697,40.741628,-74.007615,40.741897,-74.008205,40.742144,-74.007928,40.742541,-74.007705,40.742834,-74.008537,40.743169,-74.008401,40.743843,-74.008384,40.74394,-74.008272,40.744571,-74.008246,40.744695,-74.008152,40.745241,-74.008126,40.745377,-74.008038,40.745883,-74.00786,40.746795,-74.007849,40.746869,-74.007731,40.747504,-74.007696,40.747757,-74.00765,40.748184,-74.007628,40.74846,-74.007674,40.74868,-74.00777,40.74892,-74.007937,40.749253,-74.008032,40.749428,-74.008117,40.749598,-74.008203,40.749806,-74.008238,40.749923,-74.008255,40.750033,-74.008288,40.750275,-74.008255,40.750553,-74.008178,40.750755,-74.008165,40.750786,-74.00786,40.751581,-74.007817,40.751711,-74.007567,40.752394,-74.007293,40.753089,-74.007079,40.753674,-74.007035,40.753777,-74.006993,40.753889,-74.006924,40.754012,-74.006847,40.75413,-74.006701,40.75435,-74.00665,40.754429,-74.005292,40.756289,-74.004887,40.756846,-74.004804,40.756954,-74.004693,40.757097,-74.003779,40.758344,-74.003361,40.758917,-74.003132,40.759252,-74.002599,40.759981,-74.002521,40.760085,-74.002197,40.76054,-74.002121,40.760648,-74.002062,40.760713,-74.001637,40.76132,-74.001529,40.761472,-74.001328,40.76171,-74.001182,40.76186,-74.001062,40.761957,-74.000925,40.762068,-74.00031,40.762541,-74.000212,40.762607,-73.999689,40.762978,-73.999587,40.763055,-73.999457,40.763153,-73.999285,40.763309,-73.999139,40.763439,-73.998969,40.763618,-73.998779,40.763842,-73.998564,40.764142,-73.998495,40.764239,-73.998047,40.764868,-73.997755,40.765288,-73.997658,40.765402,-73.997594,40.76549,-73.997155,40.766101,-73.996728,40.766657,-73.996685,40.766714,-73.99623,40.767346,-73.995809,40.767912,-73.995776,40.767967,-73.994908,40.76916,-73.99486,40.769229,-73.994795,40.769353,-73.994671,40.769561,-73.994574,40.769907,-73.994563,40.770005,-73.994438,40.770668,-73.994396,40.770913,-73.994336,40.771199,-73.994233,40.771478,-73.994096,40.771796,-73.993892,40.772105,-73.993341,40.772843,-73.993222,40.77301,-73.992912,40.773448,-73.99189,40.775008,-73.991169,40.776015,-73.990474,40.776951,-73.988654,40.779304,-73.987968,40.780246,-73.987693,40.780578,-73.987393,40.780896,-73.987361,40.78093,-73.987075,40.781241,-73.986783,40.78154,-73.986586,40.781793,-73.985281,40.783606,-73.984942,40.78394,-73.98474,40.78411,-73.98448,40.784307,-73.984213,40.784486,-73.983925,40.784658,-73.983759,40.784747,-73.98353,40.784856,-73.983364,40.78492,-73.983258,40.784954,-73.983107,40.784992,-73.982979,40.78501,-73.98279,40.785032,-73.98266,40.784976,-73.982011,40.785594,-73.981613,40.785981,-73.981517,40.786094,-73.981448,40.786184,-73.981378,40.786311,-73.981315,40.786458,-73.981273,40.786605,-73.981246,40.786775,-73.981229,40.786917,-73.98115,40.787722,-73.98107,40.788514,-73.981044,40.788737,-73.981025,40.788862,-73.980995,40.788969,-73.980966,40.789052,-73.980934,40.789123,-73.98086,40.789257,-73.980369,40.789939,-73.977863,40.788887,-73.97768,40.788811,"
"9C51329157ECC01763DB2E3CFF0D66A8","2013-01-06 03:04:00","2013-01-06 03:07:00","5","1.09","-73.921498,40.766762,-73.921391,40.766894,-73.922189,40.767267,-73.92224,40.767292,-73.922331,40.767333,-73.922942,40.76762,-73.92298,40.76764,-73.923066,40.767678,-73.923453,40.76786,-73.923525,40.767893,-73.924272,40.768242,-73.925093,40.768632,-73.926473,40.769271,-73.927807,40.769889,-73.928471,40.76906,-73.930565,40.770045,-73.931333,40.770395,-73.931883,40.770507,-73.932046,40.770545,-73.931376,40.771372,"
"A32F4B12D699E84231D390AB0CEB4D52","2013-01-06 02:51:00","2013-01-06 03:01:00","2","1.63","-73.997345,40.725776,-73.997571,40.725875,-73.998306,40.726237,-73.999054,40.726628,-73.999865,40.727008,-74.000564,40.727372,-74.001339,40.727748,-74.0021,40.728103,-74.002773,40.728368,-74.002856,40.728363,-74.003099,40.728392,-74.005315,40.728601,-74.007091,40.728768,-74.008594,40.72891,-74.00935,40.728981,-74.009439,40.728989,-74.010394,40.729079,-74.010538,40.729093,-74.010485,40.729731,-74.010478,40.729823,-74.010418,40.730543,-74.010349,40.731181,-74.010338,40.731287,-74.010332,40.731376,-74.010272,40.732007,-74.010246,40.732286,-74.010229,40.732416,-74.010212,40.732572,-74.01016,40.733145,-74.010109,40.733795,-74.0101,40.733841,-74.010083,40.733945,-74.010061,40.734219,-74.01004,40.734543,-74.00998,40.73522,-74.009971,40.735291,-74.009971,40.735395,-74.00992,40.735974,-74.009834,40.736949,-74.0098,40.737463,-74.009808,40.737554,-74.008206,40.737554,-74.006487,40.73755,-74.005687,40.737552,-74.005747,40.737151,-74.005815,40.737044,-74.005824,40.737022,-74.005839,40.736963,-74.005847,40.736951,-74.005858,40.736943,-74.005873,40.736937,-74.005887,40.736934,-74.00592,40.736931,-74.006388,40.736952,"
"8CDC57710E25744AAE9ADE5811B2C896","2013-01-06 03:33:00","2013-01-06 03:35:00","1","0.29","-73.971646,40.762888,-73.97033,40.76233,-73.970828,40.761644,-73.97132,40.760969,-73.971398,40.760861,"
"D32F83E5B54623D4ECF0FED59FD706CF","2013-01-06 02:50:00","2013-01-06 03:05:00","3","4.79","-73.988152,40.744235,-73.988869,40.744533,-73.988999,40.743857,-73.989011,40.743796,-73.988913,40.743755,-73.98831,40.7435,-73.988194,40.743451,-73.988098,40.74341,-73.986597,40.742772,-73.986147,40.743389,-73.985696,40.744008,-73.985243,40.744627,-73.984794,40.745244,-73.984344,40.745861,-73.983893,40.746494,-73.983443,40.747098,-73.982957,40.747765,-73.981441,40.74714,-73.981222,40.747054,-73.979724,40.746402,-73.978121,40.745726,-73.97736,40.745404,-73.975881,40.744779,-73.975224,40.744505,-73.973512,40.743782,-73.973027,40.74445,-73.972576,40.745068,-73.972122,40.745685,-73.971679,40.746297,-73.97122,40.746922,-73.970736,40.747517,-73.970494,40.747834,-73.9699,40.748658,-73.967463,40.752007,-73.9669,40.752832,-73.966691,40.753125,-73.966616,40.753244,-73.966536,40.75335,-73.966157,40.753878,-73.965697,40.754504,-73.96524,40.75513,-73.964786,40.755756,-73.964325,40.756381,-73.963871,40.757008,-73.963416,40.757632,-73.962922,40.758313,-73.962432,40.758981,-73.961966,40.759619,-73.961522,40.760231,-73.961064,40.760864,-73.960607,40.761488,-73.96015,40.762115,-73.959695,40.76274,-73.95924,40.763366,-73.958781,40.76399,-73.958324,40.764613,-73.957867,40.765245,-73.957412,40.765868,-73.956935,40.766522,-73.956498,40.767116,-73.955999,40.767804,-73.955509,40.768475,-73.955049,40.769104,-73.954566,40.769767,-73.954104,40.7704,-73.953645,40.77103,-73.95322,40.771614,-73.952721,40.77233,-73.950472,40.77138,-73.948082,40.770404,-73.94759,40.771072,-73.94713,40.771697,-73.948093,40.772105,"
"C60ABC3B9007A119774957A2E591298E","2013-01-06 03:19:00","2013-01-06 03:36:00","1","5.48","-73.992905,40.741264,-73.993739,40.741617,-73.993292,40.742233,-73.992805,40.742901,-73.995645,40.744099,-73.998486,40.745294,-74.001266,40.746467,-74.001326,40.746492,-74.004168,40.74769,-74.004724,40.747928,-74.006932,40.748877,-74.006554,40.749397,-74.00653,40.749464,-74.006537,40.749501,-74.006558,40.749533,-74.006569,40.749541,-74.008288,40.750275,-74.008255,40.750553,-74.008178,40.750755,-74.008165,40.750786,-74.00786,40.751581,-74.007817,40.751711,-74.007567,40.752394,-74.007293,40.753089,-74.007079,40.753674,-74.007035,40.753777,-74.006993,40.753889,-74.006924,40.754012,-74.006847,40.75413,-74.006701,40.75435,-74.00665,40.754429,-74.005292,40.756289,-74.004887,40.756846,-74.004804,40.756954,-74.004693,40.757097,-74.003779,40.758344,-74.003361,40.758917,-74.003132,40.759252,-74.002599,40.759981,-74.002521,40.760085,-74.002197,40.76054,-74.002121,40.760648,-74.002062,40.760713,-74.001637,40.76132,-74.001529,40.761472,-74.001328,40.76171,-74.001182,40.76186,-74.001062,40.761957,-74.000925,40.762068,-74.00031,40.762541,-74.000212,40.762607,-73.999689,40.762978,-73.999587,40.763055,-73.999457,40.763153,-73.999285,40.763309,-73.999139,40.763439,-73.998969,40.763618,-73.998779,40.763842,-73.998564,40.764142,-73.998495,40.764239,-73.998047,40.764868,-73.997755,40.765288,-73.997658,40.765402,-73.997594,40.76549,-73.997155,40.766101,-73.996728,40.766657,-73.996685,40.766714,-73.99623,40.767346,-73.995809,40.767912,-73.995776,40.767967,-73.994908,40.76916,-73.99486,40.769229,-73.994795,40.769353,-73.994671,40.769561,-73.994574,40.769907,-73.994563,40.770005,-73.994438,40.770668,-73.994396,40.770913,-73.994336,40.771199,-73.994233,40.771478,-73.994096,40.771796,-73.993892,40.772105,-73.993341,40.772843,-73.993222,40.77301,-73.992912,40.773448,-73.99189,40.775008,-73.991169,40.776015,-73.990474,40.776951,-73.988654,40.779304,-73.987968,40.780246,-73.987693,40.780578,-73.987393,40.780896,-73.987361,40.78093,-73.987075,40.781241,-73.986783,40.78154,-73.986586,40.781793,-73.985281,40.783606,-73.984087,40.785298,-73.983999,40.785417,-73.983862,40.78562,-73.983711,40.785842,-73.983496,40.786217,-73.983321,40.786572,-73.98316,40.786941,-73.982924,40.787563,-73.982659,40.78824,-73.982337,40.789026,-73.982011,40.789657,-73.981651,40.790306,-73.981307,40.790865,-73.98087,40.791509,-73.980217,40.792399,-73.979668,40.793062,-73.979332,40.793441,-73.978912,40.793864,-73.978678,40.794086,-73.978449,40.794289,-73.978195,40.794506,-73.977865,40.794774,-73.977261,40.795257,-73.976892,40.795563,-73.976624,40.795793,-73.976473,40.795868,-73.97634,40.795951,-73.976137,40.796121,-73.976064,40.79617,-73.975999,40.796196,-73.975941,40.796214,-73.975862,40.796225,-73.975767,40.796225,-73.975656,40.796218,-73.975545,40.7962,-73.975311,40.796138,-73.974735,40.795896,-73.973207,40.795253,-73.971919,40.79471,-73.971815,40.794666,-73.971682,40.794611,-73.971226,40.795291,-73.970747,40.795924,-73.969408,40.795358,-73.96895,40.795986,-73.968472,40.796641,-73.96803,40.797247,-73.967575,40.79787,-73.967114,40.798501,-73.966655,40.799129,-73.966197,40.799757,-73.965705,40.800431,-73.965211,40.801107,-73.964755,40.801732,-73.96429,40.802369,-73.963867,40.802984,-73.963386,40.80363,-73.962928,40.804257,-73.962521,40.804795,"
"75EE48442C316B274F59F224CDEEE38C","2013-01-06 03:13:00","2013-01-06 03:29:00","5","7.15","-73.990134,40.718094,-73.989478,40.717894,-73.988671,40.71765,-73.98825,40.718461,-73.98746,40.718221,-73.98666,40.71788,-73.986197,40.717727,-73.985843,40.717601,-73.984316,40.717179,-73.978388,40.71538,-73.976713,40.714897,-73.967141,40.711988,-73.965218,40.711372,-73.961899,40.710362,-73.961263,40.710169,-73.96102,40.710113,-73.960711,40.710068,-73.960454,40.710042,-73.960179,40.710029,-73.959947,40.71003,-73.958754,40.710139,-73.957453,40.710258,-73.95708,40.710318,-73.956714,40.710413,-73.956375,40.710542,-73.956062,40.710698,-73.955776,40.710887,-73.955535,40.711083,-73.955338,40.711294,-73.955246,40.711417,-73.955179,40.711508,-73.955059,40.711698,-73.954537,40.712539,-73.95434,40.712812,-73.954134,40.713059,-73.953911,40.7133,-73.953653,40.713554,-73.953517,40.713679,-73.953138,40.714029,-73.952558,40.714512,-73.951937,40.715022,-73.951235,40.715579,-73.950493,40.71611,-73.949766,40.716602,-73.947477,40.718078,-73.946013,40.718977,-73.943961,40.720215,-73.942072,40.721296,-73.941731,40.721515,-73.940673,40.722277,-73.940317,40.722522,-73.939923,40.722763,-73.939073,40.723231,-73.937762,40.723953,-73.937484,40.724091,-73.937029,40.724281,-73.936643,40.724395,-73.934862,40.724881,-73.934508,40.724978,-73.933943,40.725132,-73.932784,40.725464,-73.932345,40.725617,-73.931904,40.72581,-73.931492,40.72603,-73.931106,40.726269,-73.930702,40.726562,-73.928267,40.728649,-73.927937,40.728964,-73.927625,40.72928,-73.927313,40.729635,-73.927044,40.72995,-73.926321,40.730922,-73.925867,40.731553,-73.925603,40.731922,-73.925296,40.732308,-73.92511,40.732526,-73.924983,40.732675,-73.924627,40.73304,-73.92429,40.733347,-73.923929,40.733627,-73.923543,40.733881,-73.923183,40.734084,-73.922745,40.734288,-73.922316,40.734467,-73.9218,40.73464,-73.921338,40.734766,-73.921062,40.734838,-73.920619,40.734945,-73.920193,40.735024,-73.919528,40.735128,-73.919026,40.735199,-73.918534,40.73525,-73.917946,40.735295,-73.916982,40.735354,-73.916521,40.7354,-73.908861,40.736404,-73.908525,40.736448,-73.907926,40.73654,-73.907358,40.736659,-73.906796,40.736819,-73.906301,40.737,-73.90465,40.737724,-73.903399,40.738216,-73.903092,40.738337,-73.901848,40.738795,-73.90148,40.738939,-73.900974,40.739192,-73.900519,40.739466,-73.900048,40.73978,-73.899455,40.740295,-73.899045,40.740635,-73.898392,40.741154,-73.897644,40.741732,-73.897178,40.742122,-73.896151,40.742935,-73.895886,40.743155,-73.895501,40.743477,-73.89518,40.743801,-73.894939,40.744064,-73.89482,40.744236,-73.894657,40.744532,-73.894512,40.745015,-73.894481,40.745313,-73.894504,40.745604,-73.894613,40.746006,-73.894745,40.746336,-73.894849,40.746555,-73.894993,40.746988,-73.895159,40.747318,-73.895587,40.748044,-73.895631,40.748217,-73.895602,40.748282,-73.895512,40.748336,-73.895375,40.74835,-73.893797,40.747692,-73.892409,40.747135,-73.891705,40.746818,-73.891429,40.746846,-73.890501,40.746942,-73.889571,40.747039,-73.888678,40.747134,-73.887777,40.747237,-73.887611,40.747249,-73.886717,40.747341,-73.885754,40.747444,-73.885582,40.747461,"
